fsw,cap,ind,pl_i_cu
20000.0,4.7e-05,0.0001,1.44223
20000.0,4.7e-05,0.00014736842105263158,2.07114
20000.0,4.7e-05,0.00019473684210526317,2.3692
20000.0,4.7e-05,0.00024210526315789473,2.63531
20000.0,4.7e-05,0.00028947368421052634,2.87757
20000.0,4.7e-05,0.0003368421052631579,3.10158
20000.0,4.7e-05,0.00038421052631578946,3.31103
20000.0,4.7e-05,0.0004315789473684211,3.50778
20000.0,4.7e-05,0.00047894736842105264,3.69424
20000.0,4.7e-05,0.0005263157894736842,3.89764
20000.0,4.7e-05,0.0005736842105263159,4.06858
20000.0,4.7e-05,0.0006210526315789474,4.23257
20000.0,4.7e-05,0.000668421052631579,4.39076
20000.0,4.7e-05,0.0007157894736842105,4.54322
20000.0,4.7e-05,0.0007631578947368422,4.69085
20000.0,4.7e-05,0.0008105263157894738,4.83404
20000.0,4.7e-05,0.0008578947368421053,4.9731
20000.0,4.7e-05,0.0009052631578947369,5.10834
20000.0,4.7e-05,0.0009526315789473685,5.24014
20000.0,4.7e-05,0.001,5.36873
20000.0,8.273684210526315e-05,0.0001,1.44237
20000.0,8.273684210526315e-05,0.00014736842105263158,2.07111
20000.0,8.273684210526315e-05,0.00019473684210526317,2.36895
20000.0,8.273684210526315e-05,0.00024210526315789473,2.63539
20000.0,8.273684210526315e-05,0.00028947368421052634,2.87799
20000.0,8.273684210526315e-05,0.0003368421052631579,3.10168
20000.0,8.273684210526315e-05,0.00038421052631578946,3.31057
20000.0,8.273684210526315e-05,0.0004315789473684211,3.50745
20000.0,8.273684210526315e-05,0.00047894736842105264,3.69389
20000.0,8.273684210526315e-05,0.0005263157894736842,3.89737
20000.0,8.273684210526315e-05,0.0005736842105263159,4.06846
20000.0,8.273684210526315e-05,0.0006210526315789474,4.23257
20000.0,8.273684210526315e-05,0.000668421052631579,4.39077
20000.0,8.273684210526315e-05,0.0007157894736842105,4.54319
20000.0,8.273684210526315e-05,0.0007631578947368422,4.69085
20000.0,8.273684210526315e-05,0.0008105263157894738,4.83406
20000.0,8.273684210526315e-05,0.0008578947368421053,4.97308
20000.0,8.273684210526315e-05,0.0009052631578947369,5.10834
20000.0,8.273684210526315e-05,0.0009526315789473685,5.24011
20000.0,8.273684210526315e-05,0.001,5.36874
20000.0,0.0001184736842105263,0.0001,1.44227
20000.0,0.0001184736842105263,0.00014736842105263158,2.07119
20000.0,0.0001184736842105263,0.00019473684210526317,2.36925
20000.0,0.0001184736842105263,0.00024210526315789473,2.63491
20000.0,0.0001184736842105263,0.00028947368421052634,2.8774
20000.0,0.0001184736842105263,0.0003368421052631579,3.10136
20000.0,0.0001184736842105263,0.00038421052631578946,3.31056
20000.0,0.0001184736842105263,0.0004315789473684211,3.50745
20000.0,0.0001184736842105263,0.00047894736842105264,3.69394
20000.0,0.0001184736842105263,0.0005263157894736842,3.89741
20000.0,0.0001184736842105263,0.0005736842105263159,4.06847
20000.0,0.0001184736842105263,0.0006210526315789474,4.2326
20000.0,0.0001184736842105263,0.000668421052631579,4.39076
20000.0,0.0001184736842105263,0.0007157894736842105,4.54323
20000.0,0.0001184736842105263,0.0007631578947368422,4.69088
20000.0,0.0001184736842105263,0.0008105263157894738,4.83406
20000.0,0.0001184736842105263,0.0008578947368421053,4.97312
20000.0,0.0001184736842105263,0.0009052631578947369,5.10844
20000.0,0.0001184736842105263,0.0009526315789473685,5.24014
20000.0,0.0001184736842105263,0.001,5.36872
20000.0,0.00015421052631578948,0.0001,1.44239
20000.0,0.00015421052631578948,0.00014736842105263158,2.07139
20000.0,0.00015421052631578948,0.00019473684210526317,2.36864
20000.0,0.00015421052631578948,0.00024210526315789473,2.63477
20000.0,0.00015421052631578948,0.00028947368421052634,2.87721
20000.0,0.00015421052631578948,0.0003368421052631579,3.1014
20000.0,0.00015421052631578948,0.00038421052631578946,3.31062
20000.0,0.00015421052631578948,0.0004315789473684211,3.50745
20000.0,0.00015421052631578948,0.00047894736842105264,3.69391
20000.0,0.00015421052631578948,0.0005263157894736842,3.89736
20000.0,0.00015421052631578948,0.0005736842105263159,4.06851
20000.0,0.00015421052631578948,0.0006210526315789474,4.23257
20000.0,0.00015421052631578948,0.000668421052631579,4.39072
20000.0,0.00015421052631578948,0.0007157894736842105,4.54326
20000.0,0.00015421052631578948,0.0007631578947368422,4.69089
20000.0,0.00015421052631578948,0.0008105263157894738,4.83407
20000.0,0.00015421052631578948,0.0008578947368421053,4.97312
20000.0,0.00015421052631578948,0.0009052631578947369,5.10835
20000.0,0.00015421052631578948,0.0009526315789473685,5.24013
20000.0,0.00015421052631578948,0.001,5.36873
20000.0,0.00018994736842105263,0.0001,1.44228
20000.0,0.00018994736842105263,0.00014736842105263158,2.07114
20000.0,0.00018994736842105263,0.00019473684210526317,2.36848
20000.0,0.00018994736842105263,0.00024210526315789473,2.63468
20000.0,0.00018994736842105263,0.00028947368421052634,2.87731
20000.0,0.00018994736842105263,0.0003368421052631579,3.10133
20000.0,0.00018994736842105263,0.00038421052631578946,3.31056
20000.0,0.00018994736842105263,0.0004315789473684211,3.50747
20000.0,0.00018994736842105263,0.00047894736842105264,3.69393
20000.0,0.00018994736842105263,0.0005263157894736842,3.89737
20000.0,0.00018994736842105263,0.0005736842105263159,4.0685
20000.0,0.00018994736842105263,0.0006210526315789474,4.23258
20000.0,0.00018994736842105263,0.000668421052631579,4.39074
20000.0,0.00018994736842105263,0.0007157894736842105,4.54324
20000.0,0.00018994736842105263,0.0007631578947368422,4.69086
20000.0,0.00018994736842105263,0.0008105263157894738,4.83406
20000.0,0.00018994736842105263,0.0008578947368421053,4.97309
20000.0,0.00018994736842105263,0.0009052631578947369,5.10839
20000.0,0.00018994736842105263,0.0009526315789473685,5.24012
20000.0,0.00018994736842105263,0.001,5.3687
20000.0,0.00022568421052631578,0.0001,1.44239
20000.0,0.00022568421052631578,0.00014736842105263158,2.07122
20000.0,0.00022568421052631578,0.00019473684210526317,2.36848
20000.0,0.00022568421052631578,0.00024210526315789473,2.63469
20000.0,0.00022568421052631578,0.00028947368421052634,2.87734
20000.0,0.00022568421052631578,0.0003368421052631579,3.10126
20000.0,0.00022568421052631578,0.00038421052631578946,3.31059
20000.0,0.00022568421052631578,0.0004315789473684211,3.50746
20000.0,0.00022568421052631578,0.00047894736842105264,3.69395
20000.0,0.00022568421052631578,0.0005263157894736842,3.89741
20000.0,0.00022568421052631578,0.0005736842105263159,4.0685
20000.0,0.00022568421052631578,0.0006210526315789474,4.23263
20000.0,0.00022568421052631578,0.000668421052631579,4.39071
20000.0,0.00022568421052631578,0.0007157894736842105,4.54325
20000.0,0.00022568421052631578,0.0007631578947368422,4.69089
20000.0,0.00022568421052631578,0.0008105263157894738,4.83407
20000.0,0.00022568421052631578,0.0008578947368421053,4.97312
20000.0,0.00022568421052631578,0.0009052631578947369,5.10839
20000.0,0.00022568421052631578,0.0009526315789473685,5.24015
20000.0,0.00022568421052631578,0.001,5.36873
20000.0,0.00026142105263157896,0.0001,1.44227
20000.0,0.00026142105263157896,0.00014736842105263158,2.07114
20000.0,0.00026142105263157896,0.00019473684210526317,2.36841
20000.0,0.00026142105263157896,0.00024210526315789473,2.63466
20000.0,0.00026142105263157896,0.00028947368421052634,2.87733
