part_no,value,volume,ESR,ESL
EKZE250Exx221MHB5D+EKZE250Exx471MJ16S,149.85507246376812,1.835,148.68827372028133,2.929e-07
EKZE250Exx221MHB5D+EKZE250Exx681MJ20S,166.22222222222223,2.149,134.0476124971846,2.64e-07
EKZE250Exx221MHB5D+EKZE250Exx821MJ25S,173.46153846153845,2.542,128.45321349323706,2.53e-07
EKZE250Exx222MK35S+EKZE250Exx331MH15D,286.95652173913044,5.049,77.64832072059137,1.53e-07
EKZE250Exx222MK35S+EKZE250Exx331MJC5S,286.95652173913044,5.277,77.64832072059137,1.53e-07
EKZE250Exx222MK35S+EKZE250Exx471MH20D,387.26591760299624,5.3,57.53589722219583,1.133e-07
EKZE250Exx222MK35S+EKZE250Exx471MJ16S,387.26591760299624,5.552,57.53589722219583,1.133e-07
EKZE250Exx222MK35S+EKZE250Exx681MJ20S,519.4444444444445,5.866,42.89523599909907,8.45e-08
EKZE250Exx222MK35S+EKZE250Exx821MJ25S,597.3509933774834,6.259,37.300836995151535,7.35e-08
EKZE250Exx272ML25S+EKZE250Exx331MH15D,294.05940594059405,5.781,75.77275741816163,1.493e-07
EKZE250Exx272ML25S+EKZE250Exx331MJC5S,294.05940594059405,6.008,75.77275741816163,1.493e-07
EKZE250Exx272ML25S+EKZE250Exx471MH20D,400.3154574132492,6.032,55.660333919766096,1.096e-07
EKZE250Exx272ML25S+EKZE250Exx471MJ16S,400.3154574132492,6.283,55.660333919766096,1.096e-07
EKZE250Exx272ML25S+EKZE250Exx681MJ20S,543.1952662721893,6.597,41.01967269666933,8.08e-08
EKZE250Exx272ML25S+EKZE250Exx821MJ25S,628.9772727272727,6.99,35.42527369272179,6.98e-08
EKZE250Exx331MH15D+EKZE250Exx331MH15D,165.0,1.508,135.04055777494153,2.66e-07
EKZE250Exx331MH15D+EKZE250Exx331MJC5S,165.0,1.736,135.04055777494153,2.66e-07
EKZE250Exx331MH15D+EKZE250Exx471MH20D,193.875,1.759,114.92813427654596,2.264e-07
EKZE250Exx331MH15D+EKZE250Exx471MJ16S,193.875,2.011,114.92813427654596,2.264e-07
EKZE250Exx331MH15D+EKZE250Exx681MJ20S,222.17821782178217,2.325,100.28747305344922,1.975e-07
EKZE250Exx331MH15D+EKZE250Exx821MJ25S,235.30434782608697,2.717,94.69307404950167,1.865e-07
EKZE250Exx331MJC5S+EKZE250Exx331MJC5S,165.0,1.963,135.04055777494153,2.66e-07
EKZE250Exx331MJC5S+EKZE250Exx471MH20D,193.875,1.987,114.92813427654596,2.264e-07
EKZE250Exx331MJC5S+EKZE250Exx471MJ16S,193.875,2.238,114.92813427654596,2.264e-07
EKZE250Exx331MJC5S+EKZE250Exx681MJ20S,222.17821782178217,2.553,100.28747305344922,1.975e-07
EKZE250Exx331MJC5S+EKZE250Exx821MJ25S,235.30434782608697,2.945,94.69307404950167,1.865e-07
EKZE250Exx471MH20D+EKZE250Exx471MH20D,235.0,2.011,94.81571077815043,1.868e-07
EKZE250Exx471MH20D+EKZE250Exx471MJ16S,235.0,2.262,94.81571077815043,1.868e-07
EKZE250Exx471MH20D+EKZE250Exx681MJ20S,277.9130434782609,2.576,80.17504955505368,1.579e-07
EKZE250Exx471MH20D+EKZE250Exx821MJ25S,298.7596899224806,2.969,74.58065055110613,1.469e-07
EKZE250Exx471MJ16S+EKZE250Exx471MJ16S,235.0,2.513,94.81571077815043,1.868e-07
EKZE250Exx471MJ16S+EKZE250Exx681MJ20S,277.9130434782609,2.827,80.17504955505368,1.579e-07
EKZE250Exx471MJ16S+EKZE250Exx821MJ25S,298.7596899224806,3.22,74.58065055110613,1.469e-07
EKZE250Exx681MJ20S+EKZE250Exx681MJ20S,340.0,3.142,65.53438833195692,1.291e-07
EKZE250Exx681MJ20S+EKZE250Exx821MJ25S,371.73333333333335,3.534,59.939989328009375,1.181e-07
EKZE250Exx821MJ25S+EKZE250Exx821MJ25S,410.0,3.927,54.34559032406183,1.07e-07
EKZE250Exx101MF11D/EKZE250Exx101MF11D,200,0.686,111.40846016432675,2.194e-07
EKZE250Exx101MF11D/EKZE250Exx221MHB5D,320,0.921,69.63028760270423,1.372e-07
EKZE250Exx101MF11D/EKZE250Exx331MH15D,430,1.097,51.81788844852407,1.021e-07
EKZE250Exx101MF11D/EKZE250Exx331MJC5S,430,1.325,51.81788844852407,1.021e-07
EKZE250Exx101MF11D/EKZE250Exx470ME11D,147,0.559,151.57613627799557,2.986e-07
EKZE250Exx101MF11D/EKZE250Exx471MH20D,570,1.348,39.090687776956756,7.7e-08
EKZE250Exx101MF11D/EKZE250Exx471MJ16S,570,1.6,39.090687776956756,7.7e-08
EKZE250Exx221MHB5D/EKZE250Exx221MHB5D,440,1.156,50.64020916560307,9.98e-08
EKZE250Exx221MHB5D/EKZE250Exx331MH15D,550,1.332,40.512167332482456,7.98e-08
EKZE250Exx221MHB5D/EKZE250Exx331MJC5S,550,1.56,40.512167332482456,7.98e-08
EKZE250Exx221MHB5D/EKZE250Exx470ME11D,267,0.794,83.45203008563801,1.644e-07
EKZE250Exx221MHB5D/EKZE250Exx471MH20D,690,1.583,32.29230729400775,6.36e-08
EKZE250Exx221MHB5D/EKZE250Exx471MJ16S,690,1.835,32.29230729400775,6.36e-08
