part_no,value,volume,ESR,ESL
EKZE250Exx470ME11D+EKZE250Exx471MJ16S/EKZE250Exx101MF11D,142.7272727,1.816,156.1137658,3.08E-07
EKZE250Exx101MF11D+EKZE250Exx272ML25S/EKZE250Exx470ME11D,143.4285714,5.585,155.3504425,3.06E-07
EKZE250Exx470ME11D+EKZE250Exx681MJ20S/EKZE250Exx101MF11D,143.9614856,2.13,154.7753689,3.05E-07
EKZE250Exx470ME11D+EKZE250Exx821MJ25S/EKZE250Exx101MF11D,144.4521338,2.522,154.2496566,3.04E-07
EKZE250Exx102MK20S+EKZE250Exx470ME11D/EKZE250Exx101MF11D,144.8901624,3.013,153.7833326,3.03E-07
EKZE250Exx152MK25S+EKZE250Exx470ME11D/EKZE250Exx101MF11D,145.572075,3.627,153.0629555,3.02E-07
EKZE250Exx182MK30S+EKZE250Exx470ME11D/EKZE250Exx101MF11D,145.8040065,4.24,152.8194771,3.01E-07
EKZE250Exx182ML20S+EKZE250Exx470ME11D/EKZE250Exx101MF11D,145.8040065,4.58,152.8194771,3.01E-07
EKZE250Exx222MK35S+EKZE250Exx470ME11D/EKZE250Exx101MF11D,146.0169114,4.854,152.5966535,3.01E-07
EKZE250Exx272ML25S+EKZE250Exx470ME11D/EKZE250Exx101MF11D,146.19585,5.585,152.4098805,3.00E-07
EKZE250Exx101MF11D/EKZE250Exx470ME11D,147,0.559,151.5761363,2.99E-07
EKZE250Exx221MHB5D+EKZE250Exx471MH20D,149.8550725,1.583,148.6882737,2.93E-07
EKZE250Exx221MHB5D+EKZE250Exx471MJ16S,149.8550725,1.835,148.6882737,2.93E-07
EKZE250Exx101MF11D+EKZE250Exx101MF11D/EKZE250Exx101MF11D,150,1.029,148.5446136,2.93E-07
EKZE250Exx221MHB5D+EKZE250Exx221MHB5D/EKZE250Exx470ME11D,157,1.372,141.9216053,2.80E-07
EKZE250Exx331MH15D+EKZE250Exx331MH15D,165,1.508,135.0405578,2.66E-07
EKZE250Exx331MH15D+EKZE250Exx331MJC5S,165,1.736,135.0405578,2.66E-07
EKZE250Exx331MJC5S+EKZE250Exx331MJC5S,165,1.963,135.0405578,2.66E-07
EKZE250Exx221MHB5D+EKZE250Exx681MJ20S,166.2222222,2.149,134.0476125,2.64E-07
EKZE250Exx101MF11D+EKZE250Exx221MHB5D/EKZE250Exx101MF11D,168.75,1.264,132.0396565,2.60E-07
EKZE250Exx221MHB5D+EKZE250Exx821MJ25S,173.4615385,2.542,128.4532135,2.53E-07
EKZE250Exx101MF11D+EKZE250Exx331MH15D/EKZE250Exx101MF11D,176.744186,1.44,126.0674681,2.48E-07
EKZE250Exx101MF11D+EKZE250Exx331MJC5S/EKZE250Exx101MF11D,176.744186,1.668,126.0674681,2.48E-07
EKZE250Exx221MHB5D+EKZE250Exx331MH15D/EKZE250Exx470ME11D,179,1.548,124.4787264,2.45E-07
EKZE250Exx221MHB5D+EKZE250Exx331MJC5S/EKZE250Exx470ME11D,179,1.776,124.4787264,2.45E-07
EKZE250Exx102MK20S+EKZE250Exx221MHB5D,180.3278689,3.032,123.5621104,2.43E-07
EKZE250Exx101MF11D+EKZE250Exx471MH20D/EKZE250Exx101MF11D,182.4561404,1.691,122.1208121,2.41E-07
